peak_result_id,fit_attempt_id,peak_index,peak_identity,peak_assignment_status,reference_evidence_ids,matched_reference_centre_cm1,initial_centre_cm1,initial_model_amplitude,initial_fwhm_cm1,fitted_centre_cm1,centre_deviation_cm1,raw_model_amplitude,raw_width_parameter,raw_width_parameter_name,peak_height,peak_area,fwhm_cm1,position_stderr,height_stderr,area_stderr,fwhm_stderr,peak_valid,peak_valid_reason,needs_manual_review,manual_review_reason,notes
erni-aspls-011o-lorentzian-p004,erni-aspls-011o-lorentzian,4,,unassigned,,,2087.835835835836,,,2087.6137577180166,,0.01688324150917468,2.701376128381712,gamma,0.01688324150917468,0.14328171245128674,5.402752256763424,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011p-gaussian-p001,erni-aspls-011p-gaussian,1,,unassigned,,,1910.068068068068,,,1909.7299293146316,,0.30206909163924744,4.068907805014665,sigma,0.029616825455920207,0.30206909163924744,9.581545660631415,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011p-gaussian-p002,erni-aspls-011p-gaussian,2,,unassigned,,,1945.922922922923,,,1946.0365722644917,,0.38103095831290656,3.334156171303155,sigma,0.045591553485474966,0.38103095831290656,7.851337785448313,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011p-gaussian-p003,erni-aspls-011p-gaussian,3,,unassigned,,,1966.4114114114113,,,1966.4140969456378,,0.5355611053674182,2.8887458718808343,sigma,0.07396218918020614,0.5355611053674182,6.802476684105395,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011p-lorentzian-p001,erni-aspls-011p-lorentzian,1,,unassigned,,,1910.068068068068,,,1909.7475003142595,,0.0315829332620519,3.694788940706847,gamma,0.0315829332620519,0.36659958611632376,7.389577881413694,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011p-lorentzian-p002,erni-aspls-011p-lorentzian,2,,unassigned,,,1945.922922922923,,,1945.949149597654,,0.04927987136177132,2.7630675944304444,gamma,0.04927987136177132,0.4277706145098835,5.526135188860889,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011p-lorentzian-p003,erni-aspls-011p-lorentzian,3,,unassigned,,,1966.4114114114113,,,1966.435495443175,,0.07968219421051263,2.607736870699629,gamma,0.07968219421051263,0.6527921525535817,5.215473741399258,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011q-gaussian-p001,erni-aspls-011q-gaussian,1,,unassigned,,,1966.4114114114113,,,1966.2807055305293,,0.506456822768195,2.6943454624697276,sigma,0.07498928500980155,0.506456822768195,6.344698703261898,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011q-gaussian-p002,erni-aspls-011q-gaussian,2,,unassigned,,,2087.835835835836,,,2088.0374234832484,,0.10055210969549774,2.427968506705545,sigma,0.016521832070848116,0.10055210969549774,5.717428908294078,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011q-lorentzian-p001,erni-aspls-011q-lorentzian,1,,unassigned,,,1966.4114114114113,,,1966.2288436298406,,0.07800958064511201,2.8840815718683697,gamma,0.07800958064511201,0.7068143458096715,5.768163143736739,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011q-lorentzian-p002,erni-aspls-011q-lorentzian,2,,unassigned,,,2087.835835835836,,,2087.9475296862615,,0.016509130145497312,2.893984015413218,gamma,0.016509130145497312,0.15009637093665196,5.787968030826436,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-gaussian-p001,erni-aspls-011r-gaussian,1,,unassigned,,,1908.5615615615616,,,1908.6291949425088,,0.25910974214515103,3.8229263072119513,sigma,0.02703945174423231,0.25910974214515103,9.002303498898847,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-gaussian-p002,erni-aspls-011r-gaussian,2,,unassigned,,,1951.948948948949,,,1951.4962263975076,,0.23896793421359389,3.0601958732447283,sigma,0.03115304267007835,0.23896793421359389,7.2062105840376764,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-gaussian-p003,erni-aspls-011r-gaussian,3,,unassigned,,,1966.11011011011,,,1966.291879602503,,0.4630634119849129,2.796800216771429,sigma,0.06605247398077807,0.4630634119849129,6.5859612124002656,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-gaussian-p004,erni-aspls-011r-gaussian,4,,unassigned,,,2076.988988988989,,,2076.820072313729,,0.06013357012838921,2.3134449287601075,sigma,0.0103697405101216,0.06013357012838921,5.4477464913194975,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-gaussian-p005,erni-aspls-011r-gaussian,5,,unassigned,,,2088.137137137137,,,2088.2098255587202,,0.07959688134988341,2.208849282082757,sigma,0.014376065228236356,0.07959688134988341,5.201442565900698,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-lorentzian-p001,erni-aspls-011r-lorentzian,1,,unassigned,,,1908.5615615615616,,,1908.569365253832,,0.029444664683314917,3.461616275341031,gamma,0.029444664683314917,0.3202103827553458,6.923232550682062,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-lorentzian-p002,erni-aspls-011r-lorentzian,2,,unassigned,,,1951.948948948949,,,1951.48316860914,,0.031934093622027745,2.473917966944811,gamma,0.031934093622027745,0.24819313316588776,4.947835933889622,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-lorentzian-p003,erni-aspls-011r-lorentzian,3,,unassigned,,,1966.11011011011,,,1966.3003581962078,,0.07027677669927974,2.583122805319533,gamma,0.07027677669927974,0.570304450020887,5.166245610639066,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-lorentzian-p004,erni-aspls-011r-lorentzian,4,,unassigned,,,2076.988988988989,,,2061.757097543846,,0.00968441219645899,5.353107402336754,gamma,0.00968441219645899,0.16286549952209714,10.706214804673508,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011r-lorentzian-p005,erni-aspls-011r-lorentzian,5,,unassigned,,,2088.137137137137,,,2088.1510814403205,,0.01399098754178262,2.538009163299095,gamma,0.01399098754178262,0.1115556133375791,5.07601832659819,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011s-gaussian-p001,erni-aspls-011s-gaussian,1,,unassigned,,,1907.9589589589589,,,1908.19577749165,,0.2325626048042614,3.5239890328796686,sigma,0.026327850351138507,0.2325626048042614,8.298360013094273,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011s-gaussian-p002,erni-aspls-011s-gaussian,2,,unassigned,,,1951.948948948949,,,1951.7186190829962,,0.3088573183322064,2.7392750718963432,sigma,0.044981332527814236,0.3088573183322064,6.450499848155104,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011s-gaussian-p003,erni-aspls-011s-gaussian,3,,unassigned,,,1966.11011011011,,,1966.0960609253796,,0.3329754973250389,2.6819234855724767,sigma,0.04953087026354777,0.3329754973250389,6.3154471830653405,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011s-gaussian-p004,erni-aspls-011s-gaussian,4,,unassigned,,,2077.5915915915916,,,2077.220717492084,,0.0803797426642798,2.5253830370282424,sigma,0.012697827365746062,0.0803797426642798,5.946822596975242,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011s-lorentzian-p001,erni-aspls-011s-lorentzian,1,,unassigned,,,1907.9589589589589,,,1908.075517449443,,0.028209851160077692,3.273935979829666,gamma,0.028209851160077692,0.29014884773415844,6.547871959659332,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011s-lorentzian-p002,erni-aspls-011s-lorentzian,2,,unassigned,,,1951.948948948949,,,1951.6784470271973,,0.047039848245614885,2.4272722439090817,gamma,0.047039848245614885,0.3587023933600044,4.854544487818163,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011s-lorentzian-p003,erni-aspls-011s-lorentzian,3,,unassigned,,,1966.11011011011,,,1966.1525414221362,,0.05214955670845809,2.391775717357204,gamma,0.05214955670845809,0.3918509880469561,4.783551434714408,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011s-lorentzian-p004,erni-aspls-011s-lorentzian,4,,unassigned,,,2077.5915915915916,,,2078.262776192202,,0.005890216629460421,17.57372547269124,gamma,0.005890216629460421,0.325195837496075,35.14745094538248,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-gaussian-p001,erni-aspls-011t-gaussian,1,,unassigned,,,1908.5615615615616,,,1908.86330202535,,0.21424542739558863,3.6448252151415765,sigma,0.023450111960294846,0.21424542739558863,8.582907477249627,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-gaussian-p002,erni-aspls-011t-gaussian,2,,unassigned,,,1951.6476476476475,,,1951.7104821652017,,0.31933347377301163,2.7694135849708164,sigma,0.046000938583847836,0.31933347377301163,6.521470622870301,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-gaussian-p003,erni-aspls-011t-gaussian,3,,unassigned,,,1965.8088088088089,,,1965.9544973234956,,0.32597536265037397,2.6444002700307805,sigma,0.04917763623163996,0.32597536265037397,6.227086762953737,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-gaussian-p004,erni-aspls-011t-gaussian,4,,unassigned,,,2076.6876876876877,,,2076.3804443429963,,0.08842471183829809,2.5543675030178687,sigma,0.013810211781559542,0.08842471183829809,6.0150757984821315,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-gaussian-p005,erni-aspls-011t-gaussian,5,,unassigned,,,2087.835835835836,,,2087.860741700368,,0.062178433067121765,2.0903944935792445,sigma,0.01186647111623051,0.062178433067121765,4.922502855502725,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-lorentzian-p001,erni-aspls-011t-lorentzian,1,,unassigned,,,1908.5615615615616,,,1908.7534829801482,,0.025444499147859418,3.3381611146585453,gamma,0.025444499147859418,0.26684008673329135,6.6763222293170905,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-lorentzian-p002,erni-aspls-011t-lorentzian,2,,unassigned,,,1951.6476476476475,,,1951.658084435928,,0.048239219804746755,2.467361697767917,gamma,0.048239219804746755,0.373923677657049,4.934723395535834,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-lorentzian-p003,erni-aspls-011t-lorentzian,3,,unassigned,,,1965.8088088088089,,,1965.9952394075829,,0.05175588739702463,2.36009516978508,gamma,0.05175588739702463,0.38374183509691606,4.72019033957016,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-lorentzian-p004,erni-aspls-011t-lorentzian,4,,unassigned,,,2076.6876876876877,,,2076.239431287515,,0.01316874034110438,3.1307980054845976,gamma,0.01316874034110438,0.12952367420617564,6.261596010969195,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011t-lorentzian-p005,erni-aspls-011t-lorentzian,5,,unassigned,,,2087.835835835836,,,2087.964490918622,,0.011599706582790782,1.890752787175431,gamma,0.011599706582790782,0.06890196787405253,3.781505574350862,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
